index,items,freq
157,ways,12019
158,"my,be",11896
159,"that,of",11865
160,"ways,what",11848
161,"and,what,be",11783
162,"for,of,the",11749
163,"and,of,be,the",11659
164,"an,be",11594
165,"'s,of",11555
166,"for,in,be",11531
167,"'s,to",11507
168,"have,to",11454
169,"it,the",11430
170,"have,a",11427
171,"that,to",11411
172,"can,what",11383
173,"my,to",11266
174,"from,be",11172
175,"as,the",11096
176,"which,the",11070
177,use,10932
178,"and,a,the",10815
179,"for,in,the",10788
180,"most,be",10784
181,"can,to",10738
182,"and,in,be",10731
183,if,10677
184,"for,to,be,the",10631
185,"a,in,of",10490
186,"a,of,to",10437
187,"for,of,be",10415
188,"and,for",10391
189,"and,what,the",10334
190,"an,the",10245
191,"on,to",10234
192,"a,in,be,the",10199
193,"a,to,what,be",10194
194,"a,in,to",10163
195,"in,of,what",10157
196,"ways,be",10119
197,your,10105
198,"have,of",10100
199,"at,the",10049
200,"ways,what,be",10045
201,"my,what",10018
202,"it,a",9909
203,"most,be,the",9885
204,"you,of",9797
205,"that,of,the",9792
206,"some,to",9792
207,"i,to",9782
208,"for,a,be,the",9780
209,"can,in",9746
210,"on,a",9684
211,"'s,of,the",9645
212,"and,a,be",9639
213,"have,be,the",9517
214,"as,be",9504
215,"ways,to",9487
216,"you,be",9435
217,his,9375
218,"ways,to,what",9374
219,"that,in",9273
220,"in,to,what",9263
221,"on,of",9241
222,"ways,to,be",9182
223,process,9153
224,"from,to",9152
225,"ways,to,what,be",9136
226,possible,9113
227,"it,be,the",9111
228,who,9108
229,"some,to,be",9084
230,"in,of,what,the",9083
231,"with,a",9080
232,"and,what,be,the",9078
233,"'s,in",9064
234,"on,what",9053
235,during,9030
236,take,8990
237,"possible,be",8973
238,"process,the",8861
239,"i,can",8847
240,"for,of,be,the",8820
241,"it,for",8819
242,"for,a,to",8794
243,"some,to,what",8756
244,"as,a",8744
245,"some,to,what,be",8688
246,"'s,what",8623
247,not,8611
248,"possible,it",8573
249,"possible,it,be",8545
250,after,8536
251,"do,to",8518
252,"for,a,what",8518
253,"for,to,what",8506
254,"it,a,be",8502
255,"can,of,the",8470
256,"have,in",8449
257,"a,of,what",8436
258,"in,of,what,be",8431
259,"for,in,be,the",8431
260,"and,to,be,the",8416
261,"of,to,what",8408
262,make,8388
263,"possible,to",8373
264,"you,can,the",8373
265,"by,of",8366
266,"you,what",8366
267,"or,be",8328
268,"a,in,of,the",8321
269,"possible,to,be",8306
270,"i,what",8257
271,"in,of,to",8216
272,"it,for,be",8215
273,"possible,it,to",8196
274,"you,a",8180
275,"possible,it,to,be",8175
276,"on,of,the",8132
277,"that,a,be",8130
278,"process,be",8117
279,"have,of,the",8067
280,"with,to",8063
281,behind,8057
282,"and,in,be,the",8042
283,"and,in,of",8015
284,"that,to,be",8010
285,"that,of,be",7989
286,"process,be,the",7950
287,"behind,the",7949
288,"for,a,what,be",7946
289,"'s,a",7944
290,"that,to,the",7920
291,"'s,to,the",7878
292,"process,what",7872
293,"a,to,what,the",7865
294,"my,to,be",7860
295,"an,to",7844
296,"a,of,to,the",7832
297,"use,be",7794
298,"at,be",7780
299,"which,be,the",7767
300,"that,what",7759
301,"process,what,the",7755
302,"behind,be",7732
303,"in,of,what,be,the",7713
304,"how,do",7709
305,"it,a,to",7701
306,"on,what,be",7698
307,"for,to,what,be",7693
308,"do,in",7672
309,"behind,be,the",7671
310,would,7659
311,"that,and",7655
312,"it,for,to",7653
313,state,7640
314,"process,what,be",7608
315,"from,be,the",7553
316,"and,a,of",7552
317,"behind,what",7549
318,"process,what,be,the",7529
319,"behind,what,the",7521
320,"have,and",7506
321,provide,7493
322,"that,a,the",7490
323,"behind,what,be",7478
324,"a,of,what,be",7468
325,"by,of,the",7458
326,"behind,what,be,the",7457
327,"and,of,to",7424
328,there,7404
329,"can,and",7376
330,"my,i",7328
331,"it,for,to,be",7308
332,"a,to,what,be,the",7302
333,"my,what,be",7290
334,"there,be",7289
335,step,7276
336,"that,what,be",7269
337,when,7260
338,"their,the",7252
339,"for,a,to,be",7234
340,"a,of,what,the",7213
341,"and,for,be",7166
342,"with,be,the",7141
343,"my,to,what",7113
344,"have,to,the",7085
345,"a,in,what",7083
346,"and,in,of,the",7075
347,"from,what",7069
348,me,7049
349,"my,the",7035
350,"step,what",7016
351,"in,of,to,the",7015
352,he,7009
353,"you,of,the",7000
354,"in,to,what,be",6996
355,"and,for,the",6945
356,"from,a",6945
357,"it,a,to,be",6929
358,"an,be,the",6928
359,"use,the",6927
360,"and,a,to",6923
361,"with,of",6913
362,"ways,some",6910
363,india,6904
364,"ways,some,what",6894
365,"that,in,the",6892
366,"ways,some,be",6892
367,"ways,some,what,be",6891
368,"of,to,what,the",6870
369,"on,to,be",6850
370,"it,to,the",6849
371,"on,what,the",6799
372,"reason,for",6796
373,"step,to",6794
374,"'s,what,be",6792
375,"how,the",6713
376,"a,in,to,be",6709
377,"who,be",6704
378,"ways,some,to",6702
379,"a,of,what,be,the",6700
380,"'s,and",6690
381,"ways,some,to,be",6688
382,"ways,some,to,what",6687
383,"ways,some,to,what,be",6687
384,"'s,in,the",6686
385,"for,to,what,the",6674
386,"i,be",6673
387,"step,to,what",6665
388,"'s,what,the",6662
389,"that,of,be,the",6660
390,"it,in",6631
391,"for,a,what,the",6631
392,"do,a",6602
393,"reason,for,be",6601
394,"behind,reason",6592
395,"or,the",6592
396,"behind,reason,the",6576
397,"a,of,to,be",6568
398,"do,of",6558
399,"reason,for,the",6538
400,"of,to,what,be",6536
401,"by,of,be",6519
402,"'s,to,be",6503
403,"behind,reason,be",6474
404,"behind,reason,be,the",6461
405,"behind,reason,what",6453
406,"for,a,what,be,the",6447
407,"during,the",6445
408,"on,to,the",6443
409,"behind,reason,what,the",6442
410,"if,be",6442
411,"reason,for,be,the",6432
412,"for,in,what",6431
413,"you,can,of",6409
414,"behind,reason,what,be",6406
415,"reason,for,what",6402
416,"behind,reason,what,be,the",6396
417,"'s,of,be",6387
418,"most,what",6386
419,"an,what",6385
420,"and,of,to,the",6375
421,"have,that",6371
422,"for,to,what,be,the",6358
423,"from,of",6333
424,its,6331
425,"as,of",6324
426,"can,what,be",6323
427,"their,be",6320
428,"can,be,the",6318
429,any,6308
430,"reason,for,what,be",6306
431,"by,to",6299
432,"and,in,to",6279
433,"it,of",6272
434,"that,in,be",6271
435,"state,the",6257
436,"i,a",6252
437,"reason,for,what,the",6250
438,"not,be",6244
439,"in,to,what,the",6217
440,"as,be,the",6213
441,"reason,for,what,be,the",6205
442,"a,in,to,the",6198
443,"most,what,the",6188
444,"take,to",6171
445,"on,what,be,the",6157
446,one,6152
447,"on,and",6145
448,"i,the",6136
449,"you,to",6118
450,"i,to,what",6106
451,"and,a,in",6098
452,"an,of",6086
453,"and,a,be,the",6049
454,"by,a",6036
455,"have,to,be",6011
456,experience,5998
457,"for,of,what",5968
458,"have,a,the",5965
459,"as,to",5962
460,"your,be",5951
461,this,5947
462,"for,in,what,be",5940
463,"use,to",5915
464,"you,in",5913
465,"on,a,the",5894
466,"and,a,of,the",5871
467,"have,in,the",5859
468,"from,to,the",5859
469,"it,and",5856
470,time,5847
471,"a,in,of,be",5841
472,individuals,5835
473,"it,to,be,the",5833
474,"by,of,be,the",5827
475,"most,what,be",5817
476,"that,what,the",5800
477,"with,in",5788
478,"by,in",5772
479,"take,what",5756
480,"do,what,the",5724
481,"on,a,be",5700
482,"'s,what,be,the",5680
483,"from,and",5660
484,"most,what,be,the",5657
485,"do,be",5656
486,"not,the",5648
487,"for,of,what,be",5640
488,"of,to,what,be,the",5613
489,"a,in,what,be",5607
490,"by,and",5592
491,"who,the",5592
492,"for,a,in",5587
493,"which,in",5582
494,"that,what,be,the",5578
495,"at,be,the",5575
496,"my,be,the",5573
497,"it,in,be",5551
498,"that,to,be,the",5549
499,"their,to",5540
500,"'s,of,be,the",5507
501,cause,5503
502,"for,in,what,the",5498
503,"an,in",5493
504,"do,and",5468
505,"that,and,the",5455
506,will,5452
507,"for,of,what,the",5444
508,"and,of,what",5444
509,"your,what",5442
510,between,5436
511,"on,of,be",5426
512,"an,to,be",5409
513,"an,a",5400
514,other,5372
515,"can,to,what",5345
516,"from,to,be",5333
517,"for,a,of",5324
518,"with,to,be",5306
519,"you,what,be",5299
520,about,5285
521,"from,of,the",5275
522,"for,in,what,be,the",5249
523,"in,to,what,be,the",5240
524,"on,in",5236
525,new,5234
526,"from,in",5230
527,"for,of,what,be,the",5229
528,"an,what,be",5218
529,"'s,for",5207
530,"for,in,to",5207
531,"have,a,be",5200
532,"have,what",5192
533,"process,for",5190
534,"with,of,the",5189
535,consider,5188
536,"use,be,the",5181
537,"can,for",5179
538,way,5161
539,"can,a,be",5158
540,"that,a,be,the",5148
541,"as,of,the",5121
542,"with,what",5117
543,"process,for,the",5111
544,"that,and,be",5108
545,"you,and",5108
546,"how,can",5098
547,"with,and",5094
548,"that,can",5068
549,"with,a,be",5063
550,"have,and,the",5055
551,"it,of,be",5040
552,"at,of",5032
553,"and,to,what",5023
554,"after,the",5019
555,"india,be",5006
556,"have,for",5005
557,should,4991
558,effective,4985
559,"from,do",4978
560,her,4976
561,"which,for",4971
562,"'s,a,the",4966
563,"how,be",4960
564,top,4946
565,"'s,and,the",4937
566,"and,of,what,the",4936
567,"a,of,to,be,the",4935
568,"process,for,what",4928
569,"a,in,what,the",4924
570,"on,of,be,the",4894
571,"india,in",4893
572,"my,to,what,be",4884
573,"process,for,what,the",4883
574,"my,what,the",4879
575,"his,the",4854
576,"process,for,be",4854
577,"and,for,be,the",4852
578,"take,to,what",4851
579,"or,to",4842
580,they,4827
581,number,4818
582,"in,of,to,be",4814
583,"do,of,the",4810
584,"'s,in,be",4802
585,"provide,can",4799
586,explain,4794
587,"process,for,be,the",4791
588,"you,can,a",4779
589,"india,the",4772
590,"from,what,be",4767
591,"process,for,what,be",4766
592,"on,for",4763
593,"by,to,be",4753
594,"an,for",4748
595,"provide,you",4746
596,"can,in,the",4744
597,"as,in",4743
598,due,4731
599,"by,to,the",4727
600,"process,for,what,be,the",4723
601,"that,in,be,the",4714
602,"due,to",4708
603,"and,of,what,be",4703
604,"that,a,of",4697
605,"a,in,of,be,the",4696
606,"my,can",4684
607,"by,in,the",4671
608,"between,and",4662
609,"i,can,to",4646
610,"'s,to,be,the",4645
611,"it,in,to",4642
612,"effective,be",4640
613,"and,in,to,the",4631
614,"an,of,the",4626
615,"some,can",4625
616,"your,you",4616
617,become,4610
618,"can,a,the",4605
619,"on,and,the",4604
620,"it,of,the",4602
621,"top,the",4600
622,"for,a,to,the",4597
623,"or,a",4585
624,"consider,be",4575
625,"ways,the",4571
626,method,4571
627,"at,a",4566
628,"or,be,the",4560
629,"possible,for",4556
630,"you,be,the",4556
631,"by,a,be",4540
632,"their,of",4530
633,"possible,for,be",4526
634,"reason,of",4520
635,"if,the",4498
636,"ways,what,the",4491
637,"with,a,the",4489
638,"you,can,of,the",4489
639,"explain,you",4480
640,"most,which",4478
641,"reason,of,the",4467
642,"provide,you,can",4464
643,"by,in,be",4457
644,"at,of,the",4448
645,"make,the",4444
646,"a,in,what,be,the",4442
647,"and,in,what",4436
648,best,4435
649,"at,what",4431
650,"have,of,be",4427
651,"by,and,the",4424
652,"have,a,to",4418
653,"it,and,be",4418
654,"possible,it,for",4411
655,"that,a,to",4405
656,"i,can,what",4403
657,"possible,it,for,be",4401
658,"reason,of,be",4400
659,"i,in",4391
660,"its,the",4387
661,"possible,for,to",4385
662,"my,what,be,the",4381
663,"on,to,be,the",4380
664,"use,to,be",4374
665,"as,a,the",4372
666,"make,what",4371
667,"your,what,be",4370
668,"possible,for,to,be",4369
669,"and,of,what,be,the",4369
670,"and,a,to,the",4367
671,"reason,of,be,the",4365
672,"that,for",4352
673,"by,and,be",4351
674,"an,what,the",4349
675,"some,the",4349
676,"some,of",4348
677,"possible,it,for,to",4346
678,"possible,it,for,to,be",4336
679,"and,in,of,be",4333
680,"have,that,the",4330
681,"for,of,to",4330
682,"my,for",4325
683,"if,to",4309
684,"with,to,the",4308
685,"some,you",4306
686,"'s,a,be",4300
687,"method,be",4299
688,"method,the",4298
689,"as,a,be",4273
690,"explain,can",4254
691,"use,what",4252
692,"reason,of,what",4246
693,"state,be",4245
694,"an,to,the",4239
695,"when,be",4231
696,"which,for,be",4231
697,"from,what,the",4229
698,"reason,of,what,the",4226
699,"your,the",4222
700,"for,in,to,be",4213
701,"who,be,the",4212
702,"not,be,the",4212
703,"how,of",4212
704,"reason,of,what,be",4211
705,"and,of,to,be",4205
706,"my,i,to",4201
707,"reason,of,what,be,the",4200
708,"best,the",4194
709,"it,that",4192
710,"explain,you,can",4190
711,"and,a,to,be",4190
712,"do,in,what",4186
713,"would,be",4183
714,"do,you",4169
715,into,4166
716,despite,4166
717,"for,a,in,be",4166
718,"at,to",4165
719,"by,a,the",4157
720,"after,be",4157
721,"with,what,be",4143
722,"as,and",4141
723,more,4139
724,"way,be",4127
725,"and,a,in,the",4126
726,"a,in,to,be,the",4122
727,"ways,in",4121
728,"it,in,to,be",4115
729,"an,what,be,the",4112
730,"it,what",4104
731,"method,be,the",4103
732,"way,to",4094
733,"method,what",4094
734,without,4092
735,"do,to,what",4091
736,"can,a,of",4090
737,"you,for",4090
738,"how,and",4089
739,term,4086
740,"would,the",4084
741,"top,be",4079
742,"my,i,can",4079
743,"my,to,the",4079
744,differ,4079
745,recommend,4054
746,"have,a,of",4043
747,"ways,in,what",4042
748,"their,be,the",4036
749,"number,the",4031
750,"in,of,to,be,the",4026
751,"method,what,be",4025
752,"step,the",4022
753,"and,a,of,be",4011
754,"how,a",4011
755,"between,the",4000
756,"any,be",3996
757,"if,a",3995
758,"method,what,the",3975
759,"take,i",3974
760,"for,a,of,the",3973
761,"which,in,be",3970
762,"time,the",3966
763,"provide,the",3959
764,mean,3953
765,"'s,that",3946
766,"can,to,be",3938
767,"can,what,the",3935
768,"can,to,the",3928
769,"top,be,the",3926
770,"when,the",3924
771,"my,a",3923
772,while,3922
773,"method,what,be,the",3919
774,"how,from",3919
775,"on,in,the",3916
776,"from,a,the",3913
777,"on,a,to",3910
778,"you,what,the",3909
779,"use,of",3894
780,"take,the",3892
781,"possible,a",3890
