index,items,freq
444,"for,a,the,be",8305
445,its,8295
446,"and,a,in,of,the",8293
447,"when,be",8291
448,good,8279
449,"as,of,the,be",8261
450,"or,the,be",8256
451,"on,to,be",8254
452,where,8250
453,"which,to",8240
454,"for,and,of",8231
455,"have,to,of",8214
456,"have,to,the,be",8207
457,take,8195
458,state,8177
459,"with,of,be",8176
460,"which,in,the",8164
461,"at,in",8162
462,"have,and,a",8148
463,"have,in,of",8146
464,than,8135
465,n't,8121
466,first,8115
467,"an,a",8107
468,all,8107
469,"i,for",8105
470,"have,and,in",8101
471,"i,how,a",8100
472,"that,and,the,be",8075
473,"for,what,the,be",8069
474,"most,be",8062
475,"from,and,the",8055
476,"it,of,be",8047
477,"for,a,in",8045
478,"a,to,in,the,be",8032
479,"it,do",8030
480,"with,a,be",8020
481,work,8012
482,"it,and,the",8003
483,"as,in,be",7999
484,"with,to,be",7992
485,"which,in,be",7988
486,"which,and",7981
487,"as,to,be",7971
488,"have,and,the,be",7963
489,"or,of",7946
490,"on,and,be",7939
491,"by,to,the",7924
492,"that,in,the,be",7896
493,"one,the",7891
494,"and,a,in,the,be",7888
495,"at,to",7886
496,"have,for",7864
497,"on,a,be",7862
498,"for,do",7848
499,"an,and",7842
500,"my,how",7841
501,"'s,of,be",7835
502,"by,in,be",7813
503,"that,and,of",7804
504,"which,of,the",7775
505,know,7774
506,"when,the",7772
507,"do,to,the",7755
508,"he,be",7750
509,"for,a,of",7743
510,"between,and,the",7739
511,any,7733
512,"do,of,the",7726
513,into,7723
514,"have,to,in",7715
515,"and,a,to,the,be",7713
516,"say,the",7696
517,"they,be",7676
518,"and,a,to,in",7669
519,"you,a",7666
520,"after,the",7664
521,"have,and,of,the",7656
522,"i,of",7650
523,"for,and,in",7649
524,"'s,a,the",7636
525,"it,in,the",7633
526,"it,what",7625
527,"should,i",7624
528,"their,the",7617
529,"or,in",7609
530,"for,and,a",7603
531,"with,in,be",7596
532,many,7595
533,"as,a,of",7586
534,"they,the",7585
535,"that,a,of",7580
536,"and,a,to,of,the",7564
537,"with,and,of",7548
538,"as,and,of,the",7535
539,"on,of,the,be",7527
540,"for,and,to",7525
541,"do,to,be",7514
542,"by,a,the",7507
543,"one,be",7506
544,"my,i,how",7505
545,"do,what,be",7499
546,"what,a,to",7490
547,"'s,what",7489
548,"for,in,of",7477
549,"have,in,the,be",7476
550,"have,a,in",7472
551,"that,a,the,be",7444
552,"an,of,the",7437
553,"why,the",7434
554,"by,and,the,be",7413
555,"that,to,of",7402
556,"as,in,of",7390
557,so,7379
558,"some,of",7371
559,"get,i",7332
560,"some,the",7323
561,"between,be",7320
562,"do,in,the",7317
563,"from,in,the",7276
564,"a,to,in,of,the",7270
565,"which,a",7270
566,"my,be",7252
567,"say,be",7246
568,become,7242
569,"can,of",7228
570,"my,do",7207
571,"how,the,be",7189
572,"for,to,in",7189
573,"for,and,of,the",7161
574,"can,and",7159
575,"that,in,of",7152
576,"state,the",7139
577,"that,a,to",7103
578,"it,a,the",7094
579,"who,the,be",7090
580,"i,do,a",7085
581,"it,to,the,be",7077
582,"have,in,of,the",7066
583,"time,the",7064
584,find,7047
585,"by,and,of",7035
586,"most,the,be",7016
587,"if,the",7015
588,"as,and,the,be",6999
589,we,6992
590,"have,to,of,the",6991
591,"by,a,be",6981
592,"that,and,to",6974
593,"by,to,be",6964
594,"with,of,the,be",6944
595,"'s,in,be",6930
596,"best,to",6924
597,"from,to,be",6923
598,"for,to,of",6902
599,"his,be",6896
600,"'s,and,be",6875
601,"that,and,of,the",6864
602,"at,and,the",6857
603,"on,and,of",6855
604,her,6851
605,"have,a,the,be",6848
606,go,6837
607,"with,a,of",6835
608,"not,the,be",6823
609,"'s,to,be",6815
610,"as,and,in",6768
611,"by,in,the,be",6736
612,"'s,of,the,be",6727
613,"not,to",6726
614,"between,and,be",6705
615,"how,do,the",6692
616,"with,in,of",6689
617,"use,to",6684
618,"at,in,the",6683
619,"this,of",6666
620,"as,in,of,the",6660
621,world,6660
622,"have,what",6659
623,out,6652
624,"that,it",6649
625,"it,have",6643
626,"with,and,in",6622
627,"as,to,of",6618
628,"'s,and,of",6609
629,"have,a,of,the",6605
630,"it,for",6590
631,"from,a,the",6588
632,"on,in,be",6586
633,"make,the",6584
634,"which,of,be",6578
635,"have,and,to,the",6569
636,"that,and,a",6568
637,"what,in,of",6564
638,"with,and,of,the",6557
639,"as,in,the,be",6553
640,"that,have,the",6553
641,up,6548
642,"you,to",6546
643,"my,to",6537
644,"with,and,a",6534
645,"for,in,of,the",6533
646,"that,to,of,the",6514
647,"for,how",6506
648,"it,to,in",6506
649,"his,to",6494
650,"by,and,of,the",6494
651,"that,and,in",6494
652,"will,the",6469
653,"as,and,a",6464
654,"have,and,in,the",6464
655,"best,to,the",6450
656,"it,a,to,be",6450
657,"good,be",6440
658,"do,a,to",6437
659,"with,and,the,be",6436
660,"that,a,in",6426
661,"their,be",6426
662,"on,and,the,be",6422
663,"what,to,in",6421
664,"do,what,the",6416
665,"on,a,of",6411
666,"with,have",6392
667,"on,have",6391
668,"which,to,the",6390
669,"as,a,of,the",6385
670,"that,in,of,the",6379
671,"i,to,be",6376
672,"on,a,to",6374
673,"as,and,to",6371
674,"it,of,the,be",6363
675,"which,in,the,be",6363
676,"but,to",6351
677,"on,do",6339
678,"my,i,do",6338
679,"how,do,to",6337
680,"he,to",6334
681,"after,be",6330
682,"first,the",6326
683,"or,and",6323
684,"which,and,the",6307
685,"that,a,of,the",6307
686,"between,the,be",6305
687,"its,the",6299
688,"do,what,to",6298
689,"with,a,to",6298
690,"an,in,the",6296
691,"that,to,in",6294
692,"for,a,of,the",6289
693,"as,a,to",6285
694,"also,the",6262
695,"if,a",6260
696,"with,and,to",6253
697,"and,a,to,in,the",6250
698,way,6249
699,"how,do,in",6245
700,"would,the",6241
701,"it,and,to",6234
702,"one,of",6211
703,"or,of,the",6193
704,"as,a,in",6192
705,"at,a,the",6190
706,"'s,in,of",6181
707,"on,and,of,the",6180
708,"on,to,the,be",6173
709,"his,and",6166
710,"as,to,the,be",6165
711,"as,a,the,be",6151
712,"his,of",6146
713,"which,to,be",6146
714,"best,to,be",6145
715,"this,to",6139
716,"with,a,in",6137
717,"i,do,to",6132
718,"your,be",6123
719,"would,be",6121
720,"this,the,be",6116
721,"for,and,in,the",6111
722,"from,of,be",6110
723,"by,in,of",6100
724,"india,in",6085
725,"on,what",6078
726,"his,in",6072
727,"on,and,to",6071
728,"and,to,in,of,be",6059
729,"have,to,in,the",6054
730,"other,the",6044
731,"my,can",6021
732,"but,the,be",6011
733,"for,a,to,be",6007
734,two,6005
735,"with,in,the,be",6005
736,"that,have,be",6002
737,"an,to,the",6001
738,"make,be",5988
739,"an,to,be",5986
740,"do,and,the",5972
741,"time,be",5968
742,"for,to,of,the",5951
743,"at,to,the",5948
744,"and,a,in,of,be",5945
745,"like,be",5939
746,"world,the",5939
747,"i,a,be",5937
748,"if,to",5915
749,"about,be",5915
750,"have,a,to,the",5914
751,"with,in,of,the",5911
752,"this,and",5900
753,"from,and,be",5900
754,include,5900
755,"will,be",5898
756,"that,for",5898
757,"new,the",5895
758,"or,a,be",5890
759,"have,i",5886
760,"with,to,of",5886
761,"'s,and,of,the",5878
762,"as,to,of,the",5867
763,"some,of,be",5864
764,"it,what,be",5855
765,"that,what",5854
766,"'s,a,be",5851
767,"their,and",5847
768,over,5846
769,"between,and,the,be",5843
770,during,5835
771,"use,of",5823
772,"an,of,be",5815
773,"for,and,to,the",5814
774,"it,and,the,be",5806
775,"which,and,be",5805
776,"an,and,the",5799
777,"at,of,be",5791
778,"i,a,to",5785
779,"for,a,to,the",5784
780,"their,to",5779
781,"or,to,be",5779
782,"by,to,the,be",5776
783,"do,a,be",5770
784,"for,a,in,the",5769
785,"best,to,the,be",5767
786,"not,of",5767
787,"on,and,a",5765
788,"on,in,of",5764
789,such,5759
790,"as,and,in,the",5757
791,"you,how,do",5755
792,"best,in",5740
793,"get,how",5739
794,"which,of,the,be",5738
795,"it,how",5735
796,"with,to,the,be",5735
797,"on,to,of",5731
798,"on,a,the,be",5728
799,"use,the,be",5723
800,"about,the",5723
801,"not,and",5712
802,"that,do",5689
803,"by,in,of,the",5685
804,"india,be",5679
805,"that,and,to,the",5678
806,"use,in",5677
807,"it,in,the,be",5676
808,"it,to,of",5675
809,"get,to",5673
810,"this,in",5671
811,"i,how,in",5667
812,"not,a",5663
813,mean,5658
814,"who,in",5657
815,"on,i",5650
816,"as,have",5649
817,"he,a",5649
818,"people,be",5646
819,"my,can,i",5645
820,life,5645
821,"your,what",5641
822,"that,and,of,be",5635
823,"'s,in,the,be",5633
824,"when,to",5629
825,"and,a,to,of,be",5623
826,"have,and,a,the",5622
827,"what,and,of",5618
828,me,5611
829,"by,and,in",5608
830,"do,a,the",5605
831,"'s,and,the,be",5598
832,"all,the",5595
833,"by,a,of",5593
834,"he,and",5592
835,much,5590
836,she,5590
837,"'s,and,in",5589
838,"some,the,be",5585
839,"there,the",5584
840,"for,and,a,the",5580
841,"with,a,of,the",5579
842,"get,do",5567
843,"as,to,in",5558
844,"can,i,a",5556
845,"what,a,to,be",5555
846,"from,a,be",5551
847,"by,a,the,be",5549
848,"'s,in,of,the",5545
849,’,5544
850,"what,in,of,be",5542
851,"and,to,in,of,the,be",5540
852,"for,to,in,the",5523
853,"do,and,be",5521
854,"with,a,the,be",5520
855,only,5516
856,"on,and,in",5515
857,"their,of",5507
858,"or,of,be",5496
859,"on,a,of,the",5493
860,"that,a,of,be",5491
861,"who,of",5487
862,"'s,to,of",5484
863,"with,and,in,the",5482
864,"have,a,to,be",5479
865,"that,and,in,the",5475
866,"that,to,of,be",5470
867,"'s,for",5466
868,"have,and,to,be",5456
869,"which,for",5455
870,"can,the,be",5446
871,"on,in,the,be",5444
872,"have,a,in,the",5443
873,"have,for,the",5442
874,could,5440
875,"that,it,be",5418
876,"have,and,of,be",5417
877,"this,of,the",5412
878,"say,to",5409
879,"but,a",5409
880,"best,for",5406
881,"with,to,in",5405
882,"they,and",5404
883,"i,the,be",5404
884,"more,be",5397
885,"what,a,in",5397
886,"that,a,to,the",5396
887,"not,in",5393
888,"from,of,the,be",5381
889,"for,and,of,be",5380
890,"than,be",5380
891,"from,and,of",5373
892,"an,in,be",5360
893,"what,in,of,the",5354
894,"if,what",5344
895,"do,in,be",5343
896,years,5341
897,"a,to,in,of,be",5339
898,"'s,a,of",5335
899,"'s,and,to",5333
900,"for,a,in,be",5328
901,"from,in,be",5327
902,"how,to,be",5321
903,"on,a,in",5318
904,"his,a",5313
905,"from,and,to",5311
906,"how,in,be",5305
907,"they,to",5301
908,"more,the",5301
909,"as,for",5294
910,"but,of",5294
911,"that,to,in,the",5287
912,"one,the,be",5286
913,"which,a,be",5286
914,"as,and,to,the",5285
915,"between,what",5281
916,"any,be",5279
917,"there,the,be",5275
918,"on,for",5272
919,"other,be",5271
920,"should,what",5266
921,"by,to,of",5263
922,while,5261
923,"on,in,of,the",5261
924,"when,a",5259
925,"from,to,the,be",5257
926,"as,and,of,be",5254
927,year,5250
928,learn,5248
929,"he,in",5240
930,"'s,to,the,be",5235
931,"what,a,of",5224
932,"n't,do",5221
933,"get,a",5219
934,"use,a",5213
935,"not,do",5209
936,"and,a,in,of,the,be",5208
937,"at,of,the,be",5203
938,"from,to,of",5203
939,"when,the,be",5202
940,"by,and,of,be",5201
941,"that,in,of,be",5198
942,"it,a,the,be",5197
943,"use,and",5197
944,"who,to",5188
945,"people,the",5184
946,"that,a,to,be",5181
947,"that,on",5179
948,"or,in,be",5176
949,"some,to",5160
950,"at,and,be",5159
951,"as,and,a,the",5158
952,"on,to,of,the",5155
953,"should,be",5151
954,"for,and,in,be",5147
955,"into,the",5143
956,"it,a,of",5143
957,"which,a,the",5143
958,"with,to,of,the",5143
959,"how,of,the",5139
960,start,5139
961,"other,and",5137
962,"it,and,of",5136
963,"'s,to,in",5134
964,"on,how",5129
965,"some,of,the",5126
966,"best,what,to",5125
967,"that,and,to,be",5122
968,"i,a,in",5121
969,"one,of,the",5121
970,"he,of",5114
971,"who,a",5114
972,"or,in,the",5113
973,"it,a,in",5110
974,"do,a,in",5104
975,"best,in,the",5098
976,"that,and,a,the",5097
977,"it,and,a",5094
978,"or,to,the",5094
979,"with,do",5092
980,"new,be",5089
981,"he,the,be",5087
982,"that,a,in,the",5085
983,"can,i,in",5082
984,"for,and,to,be",5081
985,"you,what,be",5077
986,"this,a",5072
987,"that,what,be",5070
988,"you,the,be",5069
989,"do,to,in",5057
990,"also,be",5053
991,"at,a,be",5050
992,"'s,have",5049
993,"my,i,to",5049
994,"say,the,be",5049
995,"it,to,in,be",5049
996,"have,to,of,be",5047
997,"by,and,to",5040
998,"one,in",5039
999,think,5038
1000,"first,be",5034
1001,"but,in",5030
1002,"on,and,to,the",5027
1003,"at,to,be",5024
1004,"know,be",5024
1005,"between,what,and",5016
1006,"state,of",5015
1007,"'s,a,to",5014
1008,"you,in",5012
1009,"by,and,in,the",5012
1010,"what,and,in",5012
1011,"from,a,to",5010
1012,"for,a,of,be",5008
1013,"for,and,a,be",5007
1014,"i,do,in",5004
1015,"that,and,of,the,be",5002
1016,"way,to",5000
1017,"it,for,be",4995
1018,"get,the",4993
1019,"with,for",4993
1020,"and,a,to,in,be",4992
1021,"how,in,the",4990
1022,"his,of,the",4984
1023,"can,how,a",4984
1024,city,4982
1025,"who,and",4980
1026,"what,to,in,be",4976
1027,"for,to,in,be",4974
1028,"an,a,be",4974
1029,"all,be",4966
1030,"get,be",4964
1031,"at,in,be",4959
1032,"so,be",4954
1033,"with,and,to,the",4953
1034,"take,the",4951
1035,"there,a",4949
1036,"would,to",4948
1037,"best,in,be",4943
1038,"have,and,in,be",4942
1039,"by,a,of,the",4940
1040,"for,in,of,be",4935
1041,"why,in",4925
1042,"have,a,of,be",4924
1043,"best,what,to,the",4916
1044,"do,and,to",4913
1045,"make,to",4911
1046,"best,for,be",4904
1047,give,4902
1048,"as,a,in,the",4895
1049,"i,how,to",4891
1050,"not,to,be",4889
1051,"with,and,a,the",4887
1052,"which,to,the,be",4876
1053,"way,be",4867
1054,"between,what,the",4866
1055,"have,in,of,be",4864
1056,"way,the",4863
1057,"an,and,be",4863
1058,"and,a,to,of,the,be",4862
1059,"but,and",4861
1060,"they,the,be",4858
1061,"with,that",4858
1062,"have,to,in,be",4854
1063,"state,be",4844
1064,"'s,to,of,the",4841
1065,"on,to,in",4838
1066,"it,and,in",4838
1067,"what,and,of,be",4836
1068,"by,to,of,the",4835
1069,"that,to,of,the,be",4833
1070,"their,in",4832
1071,"'s,a,in",4825
1072,"have,and,a,be",4819
1073,"make,a",4811
1074,"can,what",4808
1075,"from,and,of,the",4804
1076,"would,a",4793
1077,"like,what",4791
1078,"how,a,be",4791
1079,"than,the",4787
1080,"an,a,the",4787
1081,"'s,on",4784
1082,"by,and,of,the,be",4782
1083,"'s,and,in,the",4779
1084,"after,a",4773
1085,"have,for,be",4769
1086,"what,and,to",4768
1087,"can,for",4763
1088,"after,in",4754
1089,"if,the,be",4752
1090,"why,to",4750
1091,"his,the,be",4749
1092,"my,i,be",4748
1093,"by,and,a",4748
1094,"not,of,the",4748
1095,"how,do,be",4746
1096,"you,can",4745
1097,"from,to,in",4741
1098,"as,a,to,the",4737
1099,them,4735
1100,no,4734
1101,"his,to,the",4731
1102,"as,in,of,be",4725
1103,"i,and,be",4724
1104,"that,and,a,be",4723
1105,"there,in",4722
1106,"'s,that",4722
1107,"on,and,in,the",4722
1108,"or,a,the",4721
1109,"as,a,of,be",4718
1110,number,4718
1111,"that,and,in,be",4716
1112,"there,a,be",4712
1113,"why,and",4712
1114,"from,and,the,be",4711
1115,"if,do",4710
1116,"most,of",4707
1117,"i,to,the",4704
1118,"on,a,to,the",4704
1119,"for,and,of,the,be",4700
1120,"an,of,the,be",4700
1121,"best,for,the",4693
1122,"what,to,of",4681
1123,"it,i",4680
1124,"from,in,of",4679
1125,"as,and,of,the,be",4678
1126,"say,a",4673
1127,"'s,what,the",4671
1128,"which,in,of",4671
1129,"state,of,the",4668
1130,"it,in,of",4668
1131,"that,in,of,the,be",4667
1132,"for,to,of,be",4664
1133,"get,in",4663
1134,"use,of,the",4661
1135,"what,in,of,the,be",4657
1136,"best,which",4655
1137,"i,in,be",4655
1138,"as,to,in,the",4654
1139,"a,to,in,of,the,be",4654
1140,"some,in",4651
1141,"from,to,of,the",4650
1142,"have,and,of,the,be",4647
1143,"after,to",4645
1144,"which,and,the,be",4645
1145,"take,to",4643
1146,"it,and,to,be",4643
1147,"during,the",4642
1148,"from,a,of",4641
1149,"between,what,and,the",4640
1150,"an,for",4640
1151,"between,what,be",4639
1152,"how,and,be",4638
1153,"it,on",4636
1154,"that,a,of,the,be",4624
1155,"best,what,to,be",4621
1156,"can,a,be",4619
1157,"who,of,the",4618
1158,"that,to,in,be",4617
1159,"with,i",4616
1160,"one,to",4614
1161,"on,and,a,the",4611
1162,"by,have",4611
1163,"with,a,in,the",4609
1164,"from,do",4603
1165,"like,to",4602
1166,"on,have,the",4602
1167,"and,a,to,in,of",4598
1168,"india,the",4594
1169,"at,and,of",4589
1170,"with,what",4581
1171,"not,to,the",4576
1172,"state,in",4564
1173,"'s,and,a",4558
1174,"i,do,what",4556
1175,"but,to,the",4556
1176,"that,a,in,be",4554
1177,"its,of",4552
1178,"time,the,be",4547
1179,"by,in,of,be",4544
1180,"from,and,in",4541
1181,"they,in",4538
1182,come,4538
1183,"i,how,do,a",4533
1184,"best,in,the,be",4531
1185,"as,that",4526
1186,"there,in,be",4524
1187,"when,in",4524
1188,"have,a,in,be",4524
1189,"that,it,the",4524
1190,want,4519
1191,"his,and,the",4515
1192,"can,of,the",4515
1193,see,4513
1194,"that,have,the,be",4511
1195,"his,in,the",4509
1196,"this,of,be",4505
1197,"it,to,of,the",4501
1198,"what,and,a",4500
1199,"have,and,in,of",4498
1200,"after,the,be",4490
1201,"he,to,the",4488
1202,"do,what,in",4485
1203,"if,i",4484
1204,"by,a,in",4481
1205,"include,the",4474
1206,"that,for,the",4466
1207,"it,have,be",4463
1208,"'s,a,of,the",4462
1209,"with,a,to,the",4462
1210,"they,of",4452
